"canopus_formulaRank"	"canopus_molecularFormula"	"canopus_adduct"	"canopus_precursorFormula"	"canopus_NPC#pathway"	"canopus_NPC#pathway Probability"	"canopus_NPC#superclass"	"canopus_NPC#superclass Probability"	"canopus_NPC#class"	"canopus_NPC#class Probability"	"canopus_ClassyFire#superclass"	"canopus_ClassyFire#superclass probability"	"canopus_ClassyFire#class"	"canopus_ClassyFire#class Probability"	"canopus_ClassyFire#subclass"	"canopus_ClassyFire#subclass Probability"	"canopus_ClassyFire#level 5"	"canopus_ClassyFire#level 5 Probability"	"canopus_ClassyFire#most specific class"	"canopus_ClassyFire#most specific class Probability"	"canopus_ClassyFire#all classifications"	"canopus_ionMass"	"canopus_retentionTimeInSeconds"	"canopus_retentionTimeInMinutes"	"canopus_formulaId"	"canopus_alignedFeatureId"	"canopus_mappingFeatureId"	"canopus_overallFeatureQuality"	"feature_id"
1	"C12H24N2O3"	"[M - H2O + H]+"	"C12H23N2O2+"	"Fatty acids"	0.881	"Fatty Acids and Conjugates"	0.483	"N-acyl amines"	0.146	"Lipids and lipid-like molecules"	0.995	"Fatty Acyls"	0.995	"Fatty acids and conjugates"	0.988	"Medium-chain fatty acids"	0.86	"Medium-chain fatty acids"	0.86	"Organic compounds; Lipids and lipid-like molecules; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Straight chain fatty acids; Amino fatty acids; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Medium-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	227.176	93	1.555	695994774701545344	695994641486252032	14	NA	14
1	"C13H21NO5"	"[M - H2O + H]+"	"C13H20NO4+"	"Fatty acids"	0.926	"Fatty amides"	0.586	"N-acyl amines"	0.149	"Lipids and lipid-like molecules"	0.865	"Fatty Acyls"	0.866	"Fatty acids and conjugates"	0.56	NA	NA	"Fatty acids and conjugates"	0.56	"Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	254.137	95	1.577	695994776551233536	695994641641441280	16	NA	16
2	"C11H16O3"	"[M + H3N + H]+"	"C11H20NO3+"	"Polyketides"	0.418	"Cyclic polyketides"	0.26	"2-pyrone derivatives"	0.37	"Organic acids and derivatives"	0.782	"Carboxylic acids and derivatives"	0.675	"Carboxylic acid derivatives"	0.604	"Carboxylic acid esters"	0.543	"Carboxylic acid esters"	0.543	"Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	214.144	95	1.577	695994777729833088	695994641586915328	15	NA	15
1	"C16H35NO3"	"[M + H]+"	"C16H36NO3+"	"Fatty acids"	0.994	"Spingolipids"	0.965	"Sphingoid bases"	0.997	"Organic nitrogen compounds"	1	"Organonitrogen compounds"	1	"Amines"	0.996	"Alkanolamines"	0.99	"1,2-aminoalcohols"	0.991	"Organic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; 1,2-aminoalcohols; Amines; Alkanolamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	290.27	95	1.579	6.95994772747e+17	695994641729521664	17	NA	17
1	"C6H6N2O2"	"[M + H]+"	"C6H7N2O2+"	"Alkaloids"	0.939	"Histidine alkaloids"	0.964	"Imidazole alkaloids"	0.964	"Organoheterocyclic compounds"	1	"Azoles"	0.813	"Imidazoles"	0.764	"Substituted imidazoles"	0.462	"Imidazolyl carboxylic acids and derivatives"	0.661	"Organic compounds; Organoheterocyclic compounds; Imidazoles; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Monocarboxylic acids and derivatives; Carboxylic acids; Imidazolyl carboxylic acids and derivatives; Carbonyl compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	139.05	96	1.598	695994773149652736	695994641788241920	18	NA	18
1	"C6H6N2O2"	"[M - H2O + H]+"	"C6H5N2O+"	"Alkaloids"	0.88	"Histidine alkaloids"	0.93	"Imidazole alkaloids"	0.931	"Organoheterocyclic compounds"	0.999	"Azoles"	0.619	"Imidazoles"	0.693	"Substituted imidazoles"	0.434	"Imidazolyl carboxylic acids and derivatives"	0.661	"Organic compounds; Organoheterocyclic compounds; Imidazoles; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Monocarboxylic acids and derivatives; Carboxylic acids; Imidazolyl carboxylic acids and derivatives; Carbonyl compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	121.04	96	1.598	695994773040600832	695994641846962176	19	NA	19
2	"C12H24O"	"[M + H3N + H]+"	"C12H28NO+"	"Fatty acids"	0.77	"Fatty acyls"	0.62	"Fatty alcohols"	0.592	"Lipids and lipid-like molecules"	0.753	NA	NA	NA	NA	NA	NA	"Lipids and lipid-like molecules"	0.753	"Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organooxygen compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	202.217	97	1.612	695994771492902528	695994641964402688	21	NA	21
1	"C44H84NO8P"	"[M + H]+"	"C44H85NO8P+"	"Fatty acids"	0.998	"Glycerophospholipids"	1	"Glycerophosphocholines"	0.993	"Lipids and lipid-like molecules"	0.982	"Glycerophospholipids"	0.998	"Glycerophosphocholines"	0.988	"Phosphatidylcholines"	0.973	"Phosphatidylcholines"	0.973	"Organic compounds; Lipids and lipid-like molecules; Glycerophospholipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Organic phosphoric acids and derivatives; Phosphate esters; Quaternary ammonium salts; Cholines; Carboxylic acid derivatives; Carboxylic acid esters; Phosphocholines; Phosphatidylcholines; Carbonyl compounds; Glycerophosphocholines; Amines; Alkyl phosphates; Dialkyl phosphates; Organic cations; Organic salts; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	786.601	98	1.626	695994772046550656	695994642065065984	22	NA	22
1	"C6H15NO3"	"[M - H2O + H]+"	"C6H14NO2+"	"Fatty acids"	0.625	"Small peptides"	0.367	"Aminoacids"	0.588	"Organic acids and derivatives"	0.856	"Carboxylic acids and derivatives"	0.817	"Amino acids, peptides, and analogues"	0.509	"Amino acids and derivatives"	0.506	"Alpha amino acids and derivatives"	0.553	"Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Quaternary ammonium salts; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Amines; Alkanolamines; Organic cations; Organic salts; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	132.102	98	1.63	695994771358684800	695994642119591936	23	NA	23
1	"C12H27NO2"	"[M + H]+"	"C12H28NO2+"	"Fatty acids"	0.71	"Spingolipids"	0.388	"Sphingoid bases"	0.832	"Organic nitrogen compounds"	1	"Organonitrogen compounds"	1	"Amines"	1	"Alkanolamines"	0.975	"1,2-aminoalcohols"	0.973	"Organic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; 1,2-aminoalcohols; Trialkylamines; Amines; Tertiary amines; Alkanolamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	218.212	99	1.653	695994771606148736	695994642220255232	24	NA	24
1	"C44H82NO8P"	"[M + H]+"	"C44H83NO8P+"	"Fatty acids"	0.997	"Glycerophospholipids"	1	"Glycerophosphocholines"	0.993	"Lipids and lipid-like molecules"	0.983	"Glycerophospholipids"	0.998	"Glycerophosphocholines"	0.989	"Phosphatidylcholines"	0.978	"Phosphatidylcholines"	0.978	"Organic compounds; Lipids and lipid-like molecules; Glycerophospholipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Organic phosphoric acids and derivatives; Phosphate esters; Quaternary ammonium salts; Cholines; Carboxylic acid derivatives; Carboxylic acid esters; Phosphocholines; Phosphatidylcholines; Carbonyl compounds; Glycerophosphocholines; Amines; Alkyl phosphates; Dialkyl phosphates; Organic cations; Organic salts; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	784.586	99	1.657	695994772096882304	695994642283169792	25	NA	25
2	"C44H82O8"	"[M + Na]+"	"C44H82NaO8+"	"Fatty acids"	0.973	"Glycerolipids"	0.97	"Triacylglycerols"	0.891	"Lipids and lipid-like molecules"	0.976	"Glycerolipids"	0.914	"Triradylcglycerols"	0.811	"Triacylglycerols"	0.63	"Triacylglycerols"	0.63	"Organic compounds; Lipids and lipid-like molecules; Glycerolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Triacylglycerols; Carboxylic acid esters; Carbonyl compounds; Tricarboxylic acids and derivatives; Triradylcglycerols; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	761.588	102	1.697	695994797954768896	695994642488690688	26	NA	26
1	"C42H82NO8P"	"[M + H]+"	"C42H83NO8P+"	"Fatty acids"	0.997	"Glycerophospholipids"	0.999	"Glycerophosphocholines"	0.969	"Lipids and lipid-like molecules"	0.979	"Glycerophospholipids"	0.997	"Glycerophosphocholines"	0.957	"Phosphatidylcholines"	0.922	"Phosphatidylcholines"	0.922	"Organic compounds; Lipids and lipid-like molecules; Glycerophospholipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Organic phosphoric acids and derivatives; Phosphate esters; Quaternary ammonium salts; Cholines; Carboxylic acid derivatives; Carboxylic acid esters; Phosphocholines; Phosphatidylcholines; Carbonyl compounds; Glycerophosphocholines; Amines; Alkyl phosphates; Dialkyl phosphates; Organic cations; Organic salts; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	760.584	102	1.697	695994801377321344	695994642547410944	27	NA	27
1	"C42H80NO8P"	"[M + H]+"	"C42H81NO8P+"	"Fatty acids"	0.996	"Glycerophospholipids"	1	"Glycerophosphocholines"	0.991	"Lipids and lipid-like molecules"	0.983	"Glycerophospholipids"	0.998	"Glycerophosphocholines"	0.988	"Phosphatidylcholines"	0.976	"Phosphatidylcholines"	0.976	"Organic compounds; Lipids and lipid-like molecules; Glycerophospholipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Organic phosphoric acids and derivatives; Phosphate esters; Quaternary ammonium salts; Cholines; Carboxylic acid derivatives; Carboxylic acid esters; Phosphocholines; Phosphatidylcholines; Carbonyl compounds; Glycerophosphocholines; Amines; Alkyl phosphates; Dialkyl phosphates; Organic cations; Organic salts; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	758.57	102	1.699	695994779441109248	695994642765514752	28	NA	28
1	"C9H19NO4"	"[M - H2O + H]+"	"C9H18NO3+"	"Fatty acids"	0.996	"Fatty amides"	0.997	"N-acyl amines"	0.996	"Lipids and lipid-like molecules"	0.985	"Fatty Acyls"	0.976	"Fatty amides"	0.973	"N-acyl amines"	0.978	"N-acyl amines"	0.978	"Organic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monosaccharides; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	188.128	102	1.705	695994773770409856	695994642971035776	31	NA	31
2	"C9H19NO4"	"[M + H]+"	"C9H20NO4+"	"Fatty acids"	0.999	"Fatty amides"	0.998	"N-acyl amines"	0.995	"Lipids and lipid-like molecules"	0.996	"Fatty Acyls"	0.995	"Fatty amides"	0.992	"N-acyl amines"	0.99	"N-acyl amines"	0.99	"Organic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monosaccharides; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	206.139	102	1.705	695994776257632256	695994643042338944	32	NA	32
2	"C9H4O"	"[M + H3N + H]+"	"C9H8NO+"	"Polyketides"	0.452	"Naphthalenes"	0.598	"Naphthoquinones"	0.558	"Benzenoids"	0.968	NA	NA	NA	NA	NA	NA	"Benzenoids"	0.968	"Organic compounds; Organooxygen compounds; Carbonyl compounds; Benzenoids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	146.06	103	1.724	695994802270708224	695994643130419328	33	NA	33
4	"C15H23NO6"	"[M - H2O + H]+"	"C15H22NO5+"	"Amino acids and Peptides"	0.398	"Lysine alkaloids"	0.3	"Pyrrolidine alkaloids"	0.389	"Organic acids and derivatives"	0.998	"Carboxylic acids and derivatives"	0.995	"Amino acids, peptides, and analogues"	0.856	"Amino acids and derivatives"	0.856	"Kainoids"	0.656	"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Pyrrolidines; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Dicarboxylic acids and derivatives; Amino acids and derivatives; Amino fatty acids; Carboxylic acid derivatives; Carboxylic acids; Kainoids; Carbonyl compounds; Alpha amino acids; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	296.149	104	1.738	695994798730715264	695994643189139584	34	NA	34
1	"C40H78NO8P"	"[M + H]+"	"C40H79NO8P+"	"Fatty acids"	0.997	"Glycerophospholipids"	1	"Glycerophosphocholines"	0.991	"Lipids and lipid-like molecules"	0.984	"Glycerophospholipids"	0.998	"Glycerophosphocholines"	0.991	"Phosphatidylcholines"	0.98	"Phosphatidylcholines"	0.98	"Organic compounds; Lipids and lipid-like molecules; Glycerophospholipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Organic phosphoric acids and derivatives; Phosphate esters; Quaternary ammonium salts; Cholines; Carboxylic acid derivatives; Carboxylic acid esters; Phosphocholines; Phosphatidylcholines; Carbonyl compounds; Glycerophosphocholines; Amines; Alkyl phosphates; Dialkyl phosphates; Organic cations; Organic salts; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	732.553	105	1.75	695994773954959232	695994643482740864	36	NA	36
1	"C40H76NO8P"	"[M + H]+"	"C40H77NO8P+"	"Fatty acids"	0.999	"Glycerophospholipids"	1	"Glycerophosphocholines"	0.996	"Lipids and lipid-like molecules"	0.988	"Glycerophospholipids"	0.999	"Glycerophosphocholines"	0.994	"Phosphatidylcholines"	0.983	"Phosphatidylcholines"	0.983	"Organic compounds; Lipids and lipid-like molecules; Glycerophospholipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Organic phosphoric acids and derivatives; Phosphate esters; Quaternary ammonium salts; Cholines; Carboxylic acid derivatives; Carboxylic acid esters; Phosphocholines; Phosphatidylcholines; Carbonyl compounds; Glycerophosphocholines; Amines; Alkyl phosphates; Dialkyl phosphates; Organic cations; Organic salts; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	730.539	106	1.762	695994772281431808	695994643734399104	37	NA	37
1	"C14H28O3"	"[M + H3N + H]+"	"C14H32NO3+"	"Fatty acids"	0.887	"Fatty acyls"	0.508	"Fatty alcohols"	0.653	"Lipids and lipid-like molecules"	0.646	"Fatty Acyls"	0.604	NA	NA	NA	NA	"Fatty Acyls"	0.604	"Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Primary alcohols; Organooxygen compounds; Fatty Acyls; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	262.238	106	1.772	695994785107614592	695994643839256704	38	NA	38
1	"C38H74NO8P"	"[M + H]+"	"C38H75NO8P+"	"Fatty acids"	0.997	"Glycerophospholipids"	1	"Glycerophosphocholines"	0.989	"Lipids and lipid-like molecules"	0.981	"Glycerophospholipids"	0.998	"Glycerophosphocholines"	0.987	"Phosphatidylcholines"	0.973	"Phosphatidylcholines"	0.973	"Organic compounds; Lipids and lipid-like molecules; Glycerophospholipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Organic phosphoric acids and derivatives; Phosphate esters; Quaternary ammonium salts; Cholines; Carboxylic acid derivatives; Carboxylic acid esters; Phosphocholines; Phosphatidylcholines; Carbonyl compounds; Glycerophosphocholines; Amines; Alkyl phosphates; Dialkyl phosphates; Organic cations; Organic salts; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	704.524	108	1.799	695994798860738688	6.95994644028e+17	40	NA	40
